"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"227","Lostine River Weir",2005,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Lostine River Weir",2005,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Lostine River Weir",2006,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Lostine River Weir",2006,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA
"231","Lostine River Weir",2006,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,1,NA,2,0,0,2
"232","Lostine River Weir",2006,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Lostine River Weir",2006,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Lostine River Weir",2006,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Lostine River Weir",2006,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Lostine River Weir",2007,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Lostine River Weir",2007,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA
"238","Lostine River Weir",2007,"Chinook","NPT GRSME Program",NA,NA,92,NA,NA,373,NA,NA,NA,NA,NA,NA,1,NA,4,0,92,96
"239","Lostine River Weir",2007,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Lostine River Weir",2007,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Lostine River Weir",2007,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Lostine River Weir",2007,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Lostine River Weir",2008,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Lostine River Weir",2008,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA
"245","Lostine River Weir",2008,"Chinook","NPT GRSME Program",NA,NA,22,NA,NA,811,NA,NA,NA,NA,NA,NA,NA,NA,1,0,22,23
"246","Lostine River Weir",2008,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Lostine River Weir",2008,"Northern Pike Minnow","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Lostine River Weir",2008,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Lostine River Weir",2008,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Lostine River Weir",2008,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
